RecvTick,ExchTick,Bid,BidVol,Ask,AskVol,RecvTime,ExchTime,ContractId,TradingDay,Last,LastVol,Multiplier
637363629045631395,637363629040580000,4.75351496112,1,4.75351496112,1,738056.385469,738056.385464,992999999,20200922,4.75351496112,1,10000
637363629592419629,637363629587370000,4.75632769212,1,4.75632769212,1,738056.386102,738056.386096,992999999,20200922,4.75632769212,1,10000
637363631066829687,637363631061780000,4.76223964943,1,4.76223964943,1,738056.387809,738056.387803,992999999,20200922,4.76223964943,1,10000
637363631092741261,637363631087690000,4.7611484076,1,4.7611484076,1,738056.387839,738056.387833,992999999,20200922,4.7611484076,1,10000
637363631150254220,637363631145200000,4.7611484076,1,4.7611484076,1,738056.387905,738056.3879,992999999,20200922,4.7611484076,1,10000
637363631160234682,637363631155180000,4.7611484076,1,4.7611484076,1,738056.387917,738056.387911,992999999,20200922,4.7611484076,1,10000
637363631165344863,637363631160290000,4.7611484076,1,4.7611484076,1,738056.387923,738056.387917,992999999,20200922,4.7611484076,1,10000
637363631413396804,637363631408340000,4.76223964943,1,4.76223964943,1,738056.38821,738056.388204,992999999,20200922,4.76223964943,1,10000
637363631719211778,637363631714160000,4.75883964943,1,4.75883964943,1,738056.388564,738056.388558,992999999,20200922,4.75883964943,1,10000
637363631909152631,637363631904100000,4.75261496112,1,4.75261496112,1,738056.388784,738056.388778,992999999,20200922,4.75261496112,1,10000
637363631962004838,637363631956950000,4.75261496112,1,4.75261496112,1,738056.388845,738056.388839,992999999,20200922,4.75261496112,1,10000
637363631998084439,637363631993030000,4.75261496112,1,4.75261496112,1,738056.388887,738056.388881,992999999,20200922,4.75261496112,1,10000
637363632008356078,637363632003300000,4.75261496112,1,4.75261496112,1,738056.388899,738056.388893,992999999,20200922,4.75261496112,1,10000
637363632058718149,637363632053660000,4.75261496112,1,4.75261496112,1,738056.388957,738056.388951,992999999,20200922,4.75261496112,1,10000
637363632093580253,637363632088520000,4.75261496112,1,4.75261496112,1,738056.388997,738056.388991,992999999,20200922,4.75261496112,1,10000
637363632126993479,637363632121940000,4.75389029435,1,4.75389029435,1,738056.389036,738056.38903,992999999,20200922,4.75389029435,1,10000
637363632324051550,637363632319000000,4.75389029435,1,4.75389029435,1,738056.389264,738056.389258,992999999,20200922,4.75389029435,1,10000
637363632485580532,637363632480520000,4.75389029435,1,4.75389029435,1,738056.389451,738056.389445,992999999,20200922,4.75389029435,1,10000
637363632577894727,637363632572840000,4.75389337026,1,4.75389337026,1,738056.389558,738056.389552,992999999,20200922,4.75389337026,1,10000
637363632582995076,637363632577940000,4.75389337026,1,4.75389337026,1,738056.389564,738056.389558,992999999,20200922,4.75389337026,1,10000
637363632681588627,637363632676530000,4.75211496112,1,4.75211496112,1,738056.389678,738056.389672,992999999,20200922,4.75211496112,1,10000
637363632714311547,637363632709250000,4.75211496112,1,4.75211496112,1,738056.389716,738056.38971,992999999,20200922,4.75211496112,1,10000
637363632719371632,637363632714310000,4.74341496112,1,4.74341496112,1,738056.389721,738056.389716,992999999,20200922,4.74341496112,1,10000
637363632724372552,637363632719320000,4.74341496112,1,4.74341496112,1,738056.389727,738056.389721,992999999,20200922,4.74341496112,1,10000
637363632734553502,637363632729500000,4.74341496112,1,4.74341496112,1,738056.389739,738056.389733,992999999,20200922,4.74341496112,1,10000
637363632754784108,637363632749730000,4.74391496112,1,4.74391496112,1,738056.389762,738056.389757,992999999,20200922,4.74391496112,1,10000
637363632766854912,637363632761800000,4.75381114923,1,4.75381114923,1,738056.389776,738056.389771,992999999,20200922,4.75381114923,1,10000
637363632799535571,637363632794480000,4.75381114923,1,4.75381114923,1,738056.389814,738056.389808,992999999,20200922,4.75381114923,1,10000
637363632847237741,637363632842180000,4.75376671926,1,4.75376671926,1,738056.389869,738056.389864,992999999,20200922,4.75376671926,1,10000
637363632862258464,637363632857200000,4.75376671926,1,4.75376671926,1,738056.389887,738056.389881,992999999,20200922,4.75376671926,1,10000
637363632867358416,637363632862300000,4.75375789102,1,4.75375789102,1,738056.389893,738056.389887,992999999,20200922,4.75375789102,1,10000
637363632915620856,637363632910560000,4.75374950485,1,4.75374950485,1,738056.389949,738056.389943,992999999,20200922,4.75374950485,1,10000
637363632920691215,637363632915630000,4.75374950485,1,4.75374950485,1,738056.389955,738056.389949,992999999,20200922,4.75374950485,1,10000
637363632961363912,637363632956310000,4.75374950485,1,4.75374950485,1,738056.390002,738056.389996,992999999,20200922,4.75374950485,1,10000
637363632971433414,637363632966380000,4.75374950485,1,4.75374950485,1,738056.390013,738056.390007,992999999,20200922,4.75374950485,1,10000
637363632991575389,637363632986520000,4.75374950485,1,4.75374950485,1,738056.390037,738056.390031,992999999,20200922,4.75374950485,1,10000
637363633006645027,637363633001590000,4.7537466859,1,4.7537466859,1,738056.390054,738056.390048,992999999,20200922,4.7537466859,1,10000
637363633016725394,637363633011670000,4.7537466859,1,4.7537466859,1,738056.390066,738056.39006,992999999,20200922,4.7537466859,1,10000
637363633042028076,637363633036970000,4.7537466859,1,4.7537466859,1,738056.390095,738056.390089,992999999,20200922,4.7537466859,1,10000
637363633057097845,637363633052040000,4.7537491732,1,4.7537491732,1,738056.390112,738056.390107,992999999,20200922,4.7537491732,1,10000
637363633067169053,637363633062110000,4.7537491732,1,4.7537491732,1,738056.390124,738056.390118,992999999,20200922,4.7537491732,1,10000
637363633097405190,637363633092350000,4.75370092196,1,4.75370092196,1,738056.390159,738056.390153,992999999,20200922,4.75370092196,1,10000
637363633137760667,637363633132700000,4.75370092196,1,4.75370092196,1,738056.390206,738056.3902,992999999,20200922,4.75370092196,1,10000
637363633142840795,637363633137780000,4.75369088186,1,4.75369088186,1,738056.390212,738056.390206,992999999,20200922,4.75369088186,1,10000
637363633163483521,637363633158430000,4.75364059869,1,4.75364059869,1,738056.390236,738056.39023,992999999,20200922,4.75364059869,1,10000
637363633168484746,637363633163430000,4.75364059869,1,4.75364059869,1,738056.390241,738056.390235,992999999,20200922,4.75364059869,1,10000
637363633197984044,637363633192930000,4.75364134316,1,4.75364134316,1,738056.390275,738056.39027,992999999,20200922,4.75364134316,1,10000
637363633229706123,637363633224650000,4.75357261409,1,4.75357261409,1,738056.390312,738056.390306,992999999,20200922,4.75357261409,1,10000
637363633260008256,637363633254950000,4.75357261409,1,4.75357261409,1,738056.390347,738056.390341,992999999,20200922,4.75357261409,1,10000
637363633295399299,637363633290340000,4.75357261409,1,4.75357261409,1,738056.390388,738056.390382,992999999,20200922,4.75357261409,1,10000
637363633315435284,637363633310380000,4.75357261409,1,4.75357261409,1,738056.390411,738056.390406,992999999,20200922,4.75357261409,1,10000
637363633336170808,637363633331110000,4.75349195821,1,4.75349195821,1,738056.390435,738056.39043,992999999,20200922,4.75349195821,1,10000
637363633351241957,637363633346180000,4.75349492312,1,4.75349492312,1,738056.390453,738056.390447,992999999,20200922,4.75349492312,1,10000
637363633376452599,637363633371390000,4.75349492312,1,4.75349492312,1,738056.390482,738056.390476,992999999,20200922,4.75349492312,1,10000
637363633416747065,637363633411690000,4.75349541416,1,4.75349541416,1,738056.390529,738056.390523,992999999,20200922,4.75349541416,1,10000
637363633446957367,637363633441900000,4.75349931079,1,4.75349931079,1,738056.390564,738056.390558,992999999,20200922,4.75349931079,1,10000
637363633451957828,637363633446900000,4.75345005932,1,4.75345005932,1,738056.390569,738056.390564,992999999,20200922,4.75345005932,1,10000
637363633457127421,637363633452070000,4.75343736553,1,4.75343736553,1,738056.390575,738056.39057,992999999,20200922,4.75343736553,1,10000
637363633467205850,637363633462150000,4.75338932444,1,4.75338932444,1,738056.390587,738056.390581,992999999,20200922,4.75338932444,1,10000
637363633487943967,637363633482890000,4.75338895919,1,4.75338895919,1,738056.390611,738056.390605,992999999,20200922,4.75338895919,1,10000
637363633553452147,637363633548390000,4.75338895919,1,4.75338895919,1,738056.390687,738056.390681,992999999,20200922,4.75338895919,1,10000
637363633563433036,637363633558370000,4.75338895919,1,4.75338895919,1,738056.390698,738056.390693,992999999,20200922,4.75338895919,1,10000
637363633573503939,637363633568440000,4.75338895919,1,4.75338895919,1,738056.39071,738056.390704,992999999,20200922,4.75338895919,1,10000
637363633593734063,637363633588670000,4.75338895919,1,4.75338895919,1,738056.390733,738056.390728,992999999,20200922,4.75338895919,1,10000
637363633598805074,637363633593750000,4.75338895919,1,4.75338895919,1,738056.390739,738056.390734,992999999,20200922,4.75338895919,1,10000
637363633603904340,637363633598850000,4.75338953358,1,4.75338953358,1,738056.390745,738056.390739,992999999,20200922,4.75338953358,1,10000
637363633613974984,637363633608920000,4.75338645249,1,4.75338645249,1,738056.390757,738056.390751,992999999,20200922,4.75338645249,1,10000
